commit_id,project,fold,our_actionable_ratio,baseline_actionable_ratio
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,5,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,5,0.6,0.6
67ead201e1cb0e7dc019002d7a2e4be53184261d,activemq,6,0.6,0.8
3051882f926851572c3755a9c0002441b5a2fc65,activemq,6,0.4,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,6,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,6,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,6,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,6,0.6,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,7,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,7,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,7,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,7,0.6,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,8,0.6,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,8,0.6,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,8,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,8,0.6,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,8,0.6,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,9,0.6,0.6
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,9,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,9,0.6,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,9,0.6,0.4
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,9,0.6,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,10,0.8,0.8
ce16735bb07e9df5e280c9cd9f82b331ee284f24,activemq,10,0.8,0.6
e89b7a57f1aa206830998ae022c041302a22baea,activemq,10,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,10,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,10,0.8,0.6
3051882f926851572c3755a9c0002441b5a2fc65,activemq,11,0.8,0.8
e89b7a57f1aa206830998ae022c041302a22baea,activemq,11,0.8,0.6
65cef691306dbd8cee37aa05b2621ebce264a07c,activemq,11,0.8,0.6
281d600ae2f9ba6c6bc7bee0e8025698b9a76563,activemq,11,0.8,0.6
